id,company_id,code,name,un_ece_code,table_code,description,percentage,amount_min
currency_code_155,,UYU,Peso Uruguayo,,PE.CURRENCY.CODE,Uruguay,,
currency_code_156,,UZS,Uzbekistan Sum,,PE.CURRENCY.CODE,Uzbekistán,,
currency_code_157,,VEF,Bolivar Fuerte,,PE.CURRENCY.CODE,Venezuela,,
currency_code_158,,VND,Dong,,PE.CURRENCY.CODE,Vietnam,,
currency_code_159,,VUV,Vatu,,PE.CURRENCY.CODE,Vanuatu,,
currency_code_160,,WST,Tala,,PE.CURRENCY.CODE,Samoa del Oeste,,
currency_code_161,,XAF,CFA Franc BEAC ‡,,PE.CURRENCY.CODE,-,,
currency_code_162,,XAG,Silver,,PE.CURRENCY.CODE,-,,
currency_code_163,,XAU,Gold,,PE.CURRENCY.CODE,-,,
currency_code_164,,XBA,Bond Markets Units European Composite Unit (EURCO),,PE.CURRENCY.CODE,-,,
currency_code_165,,XBB,European Monetary Unit (E.M.U.-6),,PE.CURRENCY.CODE,-,,
currency_code_166,,XBC,European Unit of Account 9(E.U.A.-9),,PE.CURRENCY.CODE,-,,
currency_code_167,,XBD,European Unit of Account 17(E.U.A.-17),,PE.CURRENCY.CODE,-,,
currency_code_168,,XCD,East Caribbean Dollar,,PE.CURRENCY.CODE,-,,
currency_code_169,,XDR,SDR,,PE.CURRENCY.CODE,-,,
currency_code_170,,XFU,UIC-Franc,,PE.CURRENCY.CODE,-,,
currency_code_171,,XOF,CFA Franc BCEAO †,,PE.CURRENCY.CODE,-,,
currency_code_172,,XPD,Palladium,,PE.CURRENCY.CODE,-,,
currency_code_173,,XPF,CFP Franc,,PE.CURRENCY.CODE,-,,
currency_code_174,,XPT,Platinum,,PE.CURRENCY.CODE,-,,
currency_code_175,,YER,Yemeni Rial,,PE.CURRENCY.CODE,Yemen,,
currency_code_176,,ZAR,Rand,,PE.CURRENCY.CODE,Sudáfrica,,
currency_code_177,,ZMK,Zambian Kwacha,,PE.CURRENCY.CODE,Zambia,,
currency_code_178,,ZWL,Zimbabwe Dollar,,PE.CURRENCY.CODE,Zimbabue,,
pe_cpe_catalog3_1,,4A,Ampere per square centimetre                                               ,,PE.CPE.CATALOG3,,,
pe_cpe_catalog3_2,,BJ,Bucket,,PE.CPE.CATALOG3,,,
pe_cpe_catalog3_3,,BLL,Barrel                                              ,,PE.CPE.CATALOG3,,,
pe_cpe_catalog3_4,,BG,Bag                                                 ,,PE.CPE.CATALOG3,,,
pe_cpe_catalog3_5,,BO,Bottle,,PE.CPE.CATALOG3,,,
pe_cpe_catalog3_6,,BX,Box,,PE.CPE.CATALOG3,,,
pe_cpe_catalog3_7,,CT,Carton,,PE.CPE.CATALOG3,,,
pe_cpe_catalog3_8,,CMK,Square centimetre,,PE.CPE.CATALOG3,,,
pe_cpe_catalog3_9,,CMQ,Cubic centimeter,,PE.CPE.CATALOG3,,,
pe_cpe_catalog3_10,,CMT,Centimeter,,PE.CPE.CATALOG3,,,
pe_cpe_catalog3_11,,CEN,Hundred,,PE.CPE.CATALOG3,,,
pe_cpe_catalog3_12,,CY,Cylinder,,PE.CPE.CATALOG3,,,
pe_cpe_catalog3_13,,CJ,Cone,,PE.CPE.CATALOG3,,,
pe_cpe_catalog3_14,,DZN,Dozen,,PE.CPE.CATALOG3,,,
pe_cpe_catalog3_15,,DZP,Dozen pack                            ,,PE.CPE.CATALOG3,,,
pe_cpe_catalog3_16,,BE,Bundle,,PE.CPE.CATALOG3,,,
pe_cpe_catalog3_17,,GLI,Gallon (UK),,PE.CPE.CATALOG3,,,
